Publication Year,Author,doi,Title,Method,Level,Application,Country,Journal,Manual Tags,Note 1,Note 2,Review notes,year,month,day,journal,issn,volume,issue,pages,abstract,doi.1,keywords
2023,"Abbott, E. E.; Oh, W.; Dai, Y.; Feuer, C.; Chan, L.; Carr, B. G.; Nadkarni, G. N.",10.2196/51844,Joint Modeling of Social Determinants and Clinical Factors to Define Subphenotypes in Out-of-Hospital Cardiac Arrest Survival: Cluster Analysis,1. Classical Machine Learning,A. System level,,USA,Comput Biol Med,*Breast Neoplasms/diagnostic imaging; *Heart Diseases; Case-based reasoning; Decision path mining; Explainable machine learning; Female; Gbdt; Humans; Machine Learning; Paramedical diagnosis; Problem Solving; Tree-based model,OHCA phenotyping,,,2023,12.0,6.0,JMIR Aging,2561-7605 (Electronic)     2561-7605 (Linking),6.0,1.0,e51844,"BACKGROUND: Machine learning clustering offers an unbiased approach to better understand the interactions of complex social and clinical variables via integrative subphenotypes, an approach not studied in out-of-hospital cardiac arrest (OHCA). OBJECTIVE: We conducted a cluster analysis for a cohort of OHCA survivors to examine the association of clinical and social factors for mortality at 1 year. METHODS: We used a retrospective observational OHCA cohort identified from Medicare claims data, including area-level social determinants of health (SDOH) features and hospital-level data sets. We applied k-means clustering algorithms to identify subphenotypes of beneficiaries who had survived an OHCA and examined associations of outcomes by subphenotype. RESULTS: We identified 27,028 unique beneficiaries who survived to discharge after OHCA. We derived 4 distinct subphenotypes. Subphenotype 1 included a distribution of more urban, female, and Black beneficiaries with the least robust area-level SDOH measures and the highest 1-year mortality (2375/4417, 53.8%). Subphenotype 2 was characterized by a greater distribution of male, White beneficiaries and had the strongest zip code-level SDOH measures, with 1-year mortality at 49.9% (4577/9165). Subphenotype 3 had the highest rates of cardiac catheterization at 34.7% (1342/3866) and the greatest distribution with a driving distance to the index OHCA hospital from their primary residence >16.1 km at 85.4% (8179/9580); more were also discharged to a skilled nursing facility after index hospitalization. Subphenotype 4 had moderate median household income at US $51,659.50 (IQR US $41,295 to $67,081) and moderate to high median unemployment at 5.5% (IQR 4.2%-7.1%), with the lowest 1-year mortality (1207/3866, 31.2%). Joint modeling of these features demonstrated an increased hazard of death for subphenotypes 1 to 3 but not for subphenotype 4 when compared to reference. CONCLUSIONS: We identified 4 distinct subphenotypes with differences in outcomes by clinical and area-level SDOH features for OHCA. Further work is needed to determine if individual or other SDOH domains are specifically tied to long-term survival after OHCA.",10.2196/51844,Sdoh;algorithm;algorithms;association;associations;cardiac;cardiology;cluster;clustering;cohort;death;heart;k-means;machine learning;mortality;myocardial;observational;out-of-hospital-cardiac arrest;phenotype;phenotypes;retrospective;social determinants of health;subphenotype;subphenotypes;survival;survive;survivor;survivors
2023,"Abreu, P.; Santos, D.; Barbosa-Povoa, A.",ARTN 101492     10.1016/j.seps.2022.101492,Data-driven forecasting for operational planning of emergency medical services,2. Deep Learning,A. System level,,Portugal,Engineering Optimization,-constraint method; Computational experiment; Deterministic modeling; Disaster; Dispatching problem; emergency medical services; Emergency services; Emergency vehicles; Genetic algorithms; Imperialist competitive algorithms; Large-scale problem; Meta heuristic algorithm; multi-objective imperialist competitive algorithm; Non dominated sorting genetic algorithm ii (NSGA II); non-dominated sorting genetic algorithm; NP-hard,Predict demand,,,2023,4.0,,Socio-Economic Planning Sciences,0038-0121,86.0,,,"Emergency medical services (EMS) play a vital role in delivering pre-hospital care. The operational efficiency of such services is critical and adequate demand forecasts can contribute to such a goal. But for that, the available data need to be well characterized before being used. Previous studies have failed to address some important aspects of this need, such as exploring a comprehensive list of contextual data to decide which are relevant to explain the EMS demand behavior. Moreover, modern forecasting techniques have been explored in the EMS context, including neural networks, but the computational complexity inherent to the methods and their use was not discussed. Finally, it is also unclear how different demand patterns can be when predicting the volume of emergency calls considering the priority level and the number of dispatches according to vehicle type. This study proposes a generic data-driven forecasting method to address these shortcomings and to support operational decisions. The results obtained with the proposed method indicate that each priority call and vehicle type shows different patterns, which suggests that such differentiation should contribute to better resource allocation. At the same time, the operational impact of the demand shared by neighboring zones proved to be significant at bases near the border. The models developed resulted in important decision tools that can be used to predict the dynamic demand of EMS on an hourly or shift basis. Additionally, the method adds value for decision-makers that want to plan not only when and how many but also where resources are demanded, avoiding assumptions that impact the operational performance.",ARTN 101492     10.1016/j.seps.2022.101492,emergency medical services;forecasting;data-driven;neural networks;ems calls;ambulance service demand;ambulance location;neural-networks;demand;optimization;challenges;prediction;management;model
2022,"Aguiar, M. Lg; Renteria, R. R.; Catumba-Ruiz, J.; Barrera, J. O.; Redondo, J. M.","RAYYAN-INCLUSION: {""Jamie""=>""Included"", ""Charlotte""=>""Maybe""} | RAYYAN-LABELS: 3. Evolutionary ,B. Dispatch level",Use of discrete event simulation and genetic algorithms to estimate the necessary resources to respond in a timely manner in the Medical Emergency System in Bogota,3. Evolutionary,B. Dispatch Zone,,Columbia,J Med Internet Res,Humans; emergency medical service; Machine Learning; Emergency Medical Service Communication Systems; trauma; Bayes Theorem; *Emergency Medical Dispatch; *Emergency Medical Services/methods; Bernoulli naive Bayes; dispatcher; emergency medical dispatch; frequency-inverse document frequency,,,,2022,4.0,13.0,Medwave,0717-6384 (Electronic)     0717-6384 (Linking),22.0,3.0,e8718,"INTRODUCTION: Bogota has a Medical Emergency System of public and private ambulances that respond to health incidents. However, its sufficiency in quantity, type and location of the resources demanded is not known. OBJECTIVE: Based on the data from the Medical Emergency System of Bogota, Colombia, we first sought to characterize the prehospital re- sponse in cardiac arrest and determine with the model which is the least number of resources necessary to respond within eight minutes, taking into account their location, number, and type. METHODS: A database of incidents reported in administrative records of the district health authority of Bogota (2014 to 2017) was obtained. Based on this information, a hybrid model based on discrete event simulation and genetic algorithms was designed to establish the amount, type and geographic location of resources according to the frequencies and typology of the events. RESULTS: From the database, Bogota presented 938 671 ambulances dispatches in the period. 47.4% high priority, 18.9% medium and 33.74% low. 92% of these corresponded to 15 of 43 medical emergency codes. The response times recorded were longer than expected, especially in out-of-hospital cardiac arrest (median 19 minutes). In the proposed model, the best scenario required at least 281 ambulances, medicalized and basic in a 3:1 ratio, respectively, to respond in adequate time. CONCLUSIONS: Results suggest the need for an increase in the resources that respond to these incidents to bring these response times to the needs of our population.","RAYYAN-INCLUSION: {""Jamie""=>""Included"", ""Charlotte""=>""Maybe""} | RAYYAN-LABELS: 3. Evolutionary ,B. Dispatch level",10.5867/medwave.2022.03.002100     %(Uso de simulacion de eventos discretos y algoritmos geneticos para estimar los recursos necesarios para responder oportunamente en el sistema de emergencias medicas en Bogota.
2023,"Ahmed, S. T.; Basha, S. M.; Ramachandran, M.; Daneshmand, M.; Gandomi, A. H.",10.1109/Jiot.2023.3243235,An Edge-AI-Enabled Autonomous Connected Ambulance-Route Resource Recommendation Protocol (ACA-R3) for eHealth in Smart Cities,2. Deep Learning,C. Response Zone,,India,Sci Total Environ,*Ambulances; *Hot Temperature; Climate change; Emergency ambulance calls; Extreme Gradient Boosting; Heat-related impacts; Japan; Shared Socioeconomic Pathways (SSP); Temperature; Weather,No full text on wales e-library,,,2023,7.0,1.0,Ieee Internet of Things Journal,2327-4662,10.0,13.0,11497-11506,"The autonomous connected ambulance (ACA) has been an unprecedented necessity in the demand-supply management sector of the healthcare sector. However, the traditional prototypes designed for such an unmanned vehicle do not match the demands of the advanced communication technologies incorporated in today's sophisticated distributed networks. As a result, in the current era of edge computing strengthened by many AI-enabled algorithms, there is an urgent need to design a route resource recommendation (R3) protocol for ACA under Edge-AI. Designing such a protocol requires addressing the major challenges to optimize the routes for ACA and, thereby, enhance the services of emergency eHealth centers through a governing telehealth monitoring administrator. Therefore, in this article, a dedicated and novel ACA-R3 protocol is proposed to address the issues of connectivity and resource management in ACA to optimize the routes for ACA. The ACA-R3 protocol abides by the operational standards of both the eHealth protocol and governing protocol. The primary objective of the current research work was to reduce the handover time and simplify the patient-information exchange during the time of demanded emergencies. The proposed ACA-R3 protocol can enhance the collaborative distributive resource management for reliable decision making from the data generated by the GPS tracking unit in ACA and Edge-AI. The experimental results obtained from three different cases of traffic congestion are evaluated, validated, and reported in this article.",10.1109/Jiot.2023.3243235,autonomous ambulances (aas);dynamic routing;intelligent vehicular system;route recommendation (rr);vehicles;system;things
2022,"Ajumobi, O.; Verdugo, S. R.; Labus, B.; Reuther, P.; Lee, B.; Koch, B.; Davidson, P. J.; Wagner, K. D.",10.1080/10903127.2021.1981505,Identification of Non-Fatal Opioid Overdose Cases Using 9-1-1 Computer Assisted Dispatch and Prehospital Patient Clinical Record Variables,1. Classical Machine Learning,F. Inferential analysis,,USA,Health Data Sci,,Identifying overdose,,,2022,11.0,,Prehosp Emerg Care,1545-0066 (Electronic)     1090-3127 (Print)     1090-3127 (Linking),26.0,6.0,818-828,"Background: The current epidemic of opioid overdoses in the United States necessitates a robust public health and clinical response. We described patterns of non-fatal opioid overdoses (NFOODs) in a small western region using data from the 9-1-1 Computer Assisted Dispatch (CAD) record and electronic Patient Clinical Records (ePCR) completed by EMS responders. We determined whether CAD and ePCR variables could identify NFOOD cases in 9-1-1 data for intervention and surveillance efforts. Methods: We conducted a retrospective analysis of 1 year of 9-1-1 emergency medical CAD and ePCR (including naloxone administration) data from the sole EMS provider in the response area. Cases were identified based on clinician review of the ePCR, and categorized as definitive NFOOD, probable NFOOD, or non-OOD. Sensitivity, specificity, positive and negative predictive values (PPV and NPV) of the most prevalent CAD and ePCR variables were calculated. We used a machine learning technique-Random-Forests (RF) modeling-to optimize our ability to accurately predict NFOOD cases within census blocks. Results: Of 37,960 9-1-1 calls, clinical review identified 158 NFOOD cases (0.4%), of which 123 (77.8%) were definitive and 35 (22.2%) were probable cases. Overall, 106 (67.1%) received naloxone from the EMS responder at the scene. As a predictor of NFOOD, naloxone administration by paramedics had 67.1% sensitivity, 99.6% specificity, 44% PPV, and 99.9% NPV. Using CAD variables alone achieved a sensitivity of 36.7% and specificity of 99.7%. Combining ePCR variables with CAD variables increased the diagnostic accuracy with the best RF model yielding 75.9% sensitivity, 99.9% specificity, 71.4% PPV, and 99.9% NPV. Conclusion: CAD problem type variables and naloxone administration, used alone or in combination, had sub-optimal predictive accuracy. However, a Random Forests modeling approach improved accuracy of identification, which could foster improved surveillance and intervention efforts. We identified the set of NFOODs that EMS encountered in a year and may be useful for future surveillance efforts.",10.1080/10903127.2021.1981505,"Humans;United States;Narcotic Antagonists/therapeutic use;*Drug Overdose/epidemiology/drug therapy;*Opiate Overdose;Retrospective Studies;Endothelial Protein C Receptor;*Emergency Medical Services;Naloxone/therapeutic use;Computers;Analgesics, Opioid/therapeutic use;emergency medical services;medical dispatch record;non-fatal opioid overdose;sensitivity;surveillance"
2022,"Aldridge, C. M.; McDonald, M. M.; Wruble, M.; Zhuang, Y.; Uribe, O.; McMurry, T. L.; Lin, I.; Pitchford, H.; Schneider, B. J.; Dalrymple, W. A.; Carrera, J. F.; Chapman, S.; Worrall, B. B.; Rohde, G. K.; Southerland, A. M.",10.3389/fneur.2022.878282,Human vs. Machine Learning Based Detection of Facial Weakness Using Video Analysis,1. Classical Machine Learning,D. On Scene Zone,,USA,Kybernetes,augmented epsilon-constrained; emergency; emergency medical services; facility location; metaheuristic algorithm,Stroke recognition,,,2022,,,Front Neurol,1664-2295 (Print)     1664-2295 (Electronic)     1664-2295 (Linking),13.0,,878282,"BACKGROUND: Current EMS stroke screening tools facilitate early detection and triage, but the tools' accuracy and reliability are limited and highly variable. An automated stroke screening tool could improve stroke outcomes by facilitating more accurate prehospital diagnosis and delivery. We hypothesize that a machine learning algorithm using video analysis can detect common signs of stroke. As a proof-of-concept study, we trained a computer algorithm to detect presence and laterality of facial weakness in publically available videos with comparable accuracy, sensitivity, and specificity to paramedics. METHODS AND RESULTS: We curated videos of people with unilateral facial weakness (n = 93) and with a normal smile (n = 96) from publicly available web-based sources. Three board certified vascular neurologists categorized the videos according to the presence or absence of weakness and laterality. Three paramedics independently analyzed each video with a mean accuracy, sensitivity and specificity of 92.6% [95% CI 90.1-94.7%], 87.8% [95% CI 83.9-91.7%] and 99.3% [95% CI 98.2-100%]. Using a 5-fold cross validation scheme, we trained a computer vision algorithm to analyze the same videos producing an accuracy, sensitivity and specificity of 88.9% [95% CI 83.5-93%], 90.3% [95% CI 82.4-95.5%] and 87.5 [95% CI 79.2-93.4%]. CONCLUSIONS: These preliminary results suggest that a machine learning algorithm using computer vision analysis can detect unilateral facial weakness in pre-recorded videos with an accuracy and sensitivity comparable to trained paramedics. Further research is warranted to pursue the concept of augmented facial weakness detection and external validation of this algorithm in independent data sets and prospective patient encounters.",10.3389/fneur.2022.878282,access to care;cerebrovascular disease;computer vision;diagnostic test;infarction;machine learning;stroke
2020,"Al-Dury, N.; Ravn-Fischer, A.; Hollenberg, J.; Israelsson, J.; Nordberg, P.; Stromsoe, A.; Axelsson, C.; Herlitz, J.; Rawshani, A.",10.1186/s13049-020-00742-9,Identifying the relative importance of predictors of survival in out of hospital cardiac arrest: a machine learning study,1. Classical Machine Learning,E. Onward prognosis,,Sweden,Ieej Transactions on Electrical and Electronic Engineering,call triage; emergency medical service; machine learning; random forest,OHCA survival prediction,, ,2020,6.0,25.0,Scand J Trauma Resusc Emerg Med,1757-7241 (Electronic)     1757-7241 (Linking),28.0,1.0,60,"INTRODUCTION: Studies examining the factors linked to survival after out of hospital cardiac arrest (OHCA) have either aimed to describe the characteristics and outcomes of OHCA in different parts of the world, or focused on certain factors and whether they were associated with survival. Unfortunately, this approach does not measure how strong each factor is in predicting survival after OHCA. AIM: To investigate the relative importance of 16 well-recognized factors in OHCA at the time point of ambulance arrival, and before any interventions or medications were given, by using a machine learning approach that implies building models directly from the data, and arranging those factors in order of importance in predicting survival. METHODS: Using a data-driven approach with a machine learning algorithm, we studied the relative importance of 16 factors assessed during the pre-hospital phase of OHCA. We examined 45,000 cases of OHCA between 2008 and 2016. RESULTS: Overall, the top five factors to predict survival in order of importance were: initial rhythm, age, early Cardiopulmonary Resuscitation (CPR, time to CPR and CPR before arrival of EMS), time from EMS dispatch until EMS arrival, and place of cardiac arrest. The largest difference in importance was noted between initial rhythm and the remaining predictors. A number of factors, including time of arrest and sex were of little importance. CONCLUSION: Using machine learning, we confirm that the most important predictor of survival in OHCA is initial rhythm, followed by age, time to start of CPR, EMS response time and place of OHCA. Several factors traditionally viewed as important, e.g. sex, were of little importance.",10.1186/s13049-020-00742-9,Age Factors;Aged;*Algorithms;Cardiopulmonary Resuscitation;Emergency Medical Services;Female;Heart Rate;Humans;*Machine Learning;Male;Out-of-Hospital Cardiac Arrest/*mortality/therapy;*Survival Analysis;Sweden;Time-to-Treatment
2018,"Al-Mayouf, Y. R. B.; Mandi, O. A.; Taha, N. A.; Abdullah, N. F.; Khan, S.; Alam, M.",Artn 6168981     10.1155/2018/6168981,Accident Management System Based on Vehicular Network for an Intelligent Transportation System in Urban Environments,3. Evolutionary,C. Response Zone,,Malaysia,Computers & Industrial Engineering,adaptive traffic light control; computer vision; heterogeneous traffic; intelligent transportation system; optimization; priority vehicles,Vehicle routing,,,2018,,,Journal of Advanced Transportation,0197-6729,,,,"As cities across the world grow and the mobility of populations increases, there has also been a corresponding increase in the number of vehicles on roads. The result of this has been a proliferation of challenges for authorities with regard to road traffic management. A consequence of this has been congestion of traffic, more accidents, and pollution. Accidents are a still major cause of death, despite the development of sophisticated systems for traffic management and other technologies linked with vehicles. Hence, it is necessary that a common system for accident management is developed. For instance, traffic congestion inmost urban areas can be alleviated by the real-time planning of routes. However, the designing of an efficient route planning algorithm to attain a globally optimal vehicle control is still a challenge that needs to be solved, especially when the unique preferences of drivers are considered. The aim of this paper is to establish an accident management system that makes use of vehicular ad hoc networks coupled with systems that employ cellular technology in public transport. This system ensures the possibility of real-time communication among vehicles, ambulances, hospitals, roadside units, and central servers. In addition, the accident management system is able to lessen the amount of time required to alert an ambulance that it is required at an accident scene by using a multihop optimal forwarding algorithm. Moreover, an optimal route planning algorithm (ORPA) is proposed in this system to improve the aggregate spatial use of a road network, at the same time bringing down the travel cost of operating a vehicle. This can reduce the incidence of vehicles being stuck on congested roads. Simulations are performed to evaluate ORPA, and the results are compared with existing algorithms. The evaluation results provided evidence that ORPA outperformed others in terms of average ambulance speed and travelling time. Finally, our system makes it easier for ambulance to quickly make their way through traffic congestion so that the chance of saving lives is increased.",Artn 6168981     10.1155/2018/6168981,ad hoc networks;delivery;scheme
2020,"Alonso, E.; Irusta, U.; Aramendi, E.; Daya, M. R.",10.1109/Access.2020.3021310,A Machine Learning Framework for Pulse Detection During Out-of-Hospital Cardiac Arrest,1. Classical Machine Learning,D. On Scene Zone,,Spain,Applied Sciences-Basel,ambulance detection; cloud computing; human action recognition; machine learning; yolov8,OHCA pulse prediction,,,2020,,,Ieee Access,2169-3536,8.0,,161031-161041,"The availability of an automatic pulse detection during out-of-hospital cardiac arrest (OHCA) would allow the rapid identification of cardiac arrest and the prompt detection of return of spontaneous circulation. The aim of this study was to develop a reliable pulse detection algorithm using the electrocardiogram (ECG) and thoracic impedance (TI), the signals available in most defibrilators. The dataset used in the study consisted of 1140 ECG and TI segments from 187 OHCA patients, whereof 792 were labelled as pulse-generating rhythm (PR) and 348 as pulseless electrical activity (PEA) by a pool of experts in OHCA. First, an adaptive filtering scheme was used to extract the impedance circulation component and its first derivative from the TI. Then, the wavelet decomposition of the ECG was carried out to obtain the different subband components and the denoised ECG. Pulse/no-pulse (PR/PEA) discrimination features were extracted from those signals and fed into a support vector machine (SVM) classifier that made the pulse/no-pulse decision. A quasi-stratified and patient wise nested cross validation procedure was used to select the best feature subset and to tune the SVM hyperparameters. This procedure was repeated 50 times to estimate the statistical distributions of the performance metrics of the method. The optimal solution consisted in a five feature classifier that yielded a mean (standard deviation) sensitivity, specificity, balanced accuracy and total accuracy of 92.4% (0.7), 93.0% (0.8), 92.7% (0.5) and 92.6% (0.5), respectively. When compared to available methods, our solution presented an improvement in balanced accuracy of at least 2.5 points. A reliable pulse detection algorithm for OHCA using the signals available in defibrillators was acomplished.",10.1109/Access.2020.3021310,electrocardiography;feature extraction;cardiac arrest;impedance;support vector machines;transforms;machine learning;adaptive filtering;stationary wavelet transform (swt);support vector machine (svm);out-of-hospital cardiac arrest (ohca);thoracic impedance;electrocardiogram (ecg);pulse detection;cardiopulmonary-resuscitation;ventricular-fibrillation;spontaneous circulation;impedance cardiogram;survival;electrocardiogram;defibrillator;management;personnel;checking
2015,"Andrade, L. A. C. G.; Cunha, C. B.","RAYYAN-INCLUSION: {""Jamie""=>""Included"", ""Leanne""=>""Excluded"", ""Charlotte""=>""Excluded""} | RAYYAN-LABELS: mop,A. System level,3. Evolutionary | USER-NOTES: {""Jamie""=>[""Ambulance routing"", ""Brazil""]}",An ABC heuristic for optimizing moveable ambulance station location and vehicle repositioning for the city of Sao Paulo,3. Evolutionary,A. System level,,Brazil,Stroke,*4. Natural Language Processing; 80 and over; Aged; Allied Health Personnel/*standards; Chicago/epidemiology; diagnosis; Emergency Medical Services/methods/*standards; Female; Humans; machine learning; Male; Middle Aged; 4. Natural Language processing; patient; Research Report/*standards; Retrospective Studies; Stroke/*diagnosis/epidemiology,Ambulance routing,,,2015,4.0,,International Transactions in Operational Research,0969-6016,22.0,3.0,473-501,"In this paper, we address the problem of determining the optimal location of ambulance stations, as well as the vehicle allocation and repositioning for the mobile emergency care service of SAo Paulo (SAMU-SP), in Brazil. This problem arises in the context of seeking to reduce expected ambulance response times, which was within 27 minutes in SAo Paulo for 98% of the requests. In order to bring down total response times closer to internationally acceptable standards, SAMU-SP devised the concept of moveable ambulance stations that can be installed in available public spaces, such as squares and parks, and can be periodically relocated to ensure a good coverage at all times. This new concept, however, was not an easy sell. It was necessary to demonstrate clearly the benefits that such stations, if properly located, could provide in the context of limited budgetary resources when compared to the traditional facilities in regular buildings. In this context, we propose a novel artificial bee colony (ABC) algorithm to guide SAMU-SP in its strategic decisions involving their service network, as well as in the allocation and repositioning of ambulances to each stand-by point in order to cope with varying demand at different time periods. This model was applied to analyze different scenarios, including one that was implemented in the short term and yielded an improvement of over 40% in the expected coverage.","RAYYAN-INCLUSION: {""Jamie""=>""Included"", ""Leanne""=>""Excluded"", ""Charlotte""=>""Excluded""} | RAYYAN-LABELS: mop,A. System level,3. Evolutionary | USER-NOTES: {""Jamie""=>[""Ambulance routing"", ""Brazil""]}",10.1111/itor.12160
